,as_of,ask_id,fund_size
9479,2010-06,B14200,118.859
9480,2010-07,B14200,126.211
9481,2010-08,B14200,117.979
9482,2010-09,B14200,127.005
9483,2010-10,B14200,130.066
9484,2010-11,B14200,127.355
9485,2010-12,B14200,132.619
9486,2011-01,B14200,132.471
9487,2011-02,B14200,134.846
9488,2011-03,B14200,131.638
9489,2011-04,B14200,133.469
9490,2011-05,B14200,129.269
9491,2011-06,B14200,88.1866
9492,2011-07,B14200,84.7382
9493,2011-08,B14200,78.4297
9494,2011-09,B14200,72.5242
9495,2011-10,B14200,80.9594
9496,2011-11,B14200,79.1337
9497,2011-12,B14200,77.9753
9498,2012-01,B14200,80.0458
9499,2012-02,B14200,82.7545
9500,2012-03,B14200,83.6929
9501,2012-04,B14200,81.3071
9502,2012-05,B14200,74.9681
9503,2012-06,B14200,77.2367
9504,2012-07,B14200,78.3613
9505,2012-08,B14200,79.9986
9506,2012-09,B14200,80.6601
9507,2012-10,B14200,77.177
9508,2012-11,B14200,77.3469
9509,2012-12,B14200,77.2376
9510,2013-01,B14200,80.5228
9511,2013-02,B14200,82.1963
9512,2013-03,B14200,83.7279
9513,2013-04,B14200,84.4751
9514,2013-05,B14200,85.9629
9515,2013-06,B14200,83.2594
9516,2013-07,B14200,86.9934
9517,2013-08,B14200,83.7089
9518,2013-09,B14200,86.4744
9519,2013-10,B14200,92.1128
9520,2013-11,B14200,92.1448
9521,2013-12,B14200,93.0929
9522,2014-01,B14200,88.6897
9523,2014-02,B14200,94.637
9524,2014-03,B14200,94.1606
9525,2014-04,B14200,92.5579
9526,2014-05,B14200,94.2468
9527,2014-06,B14200,96.0998
9528,2014-07,B14200,94.028
9529,2014-08,B14200,96.7315
9530,2014-09,B14200,94.8674
9531,2014-10,B14200,99.3011
9532,2014-11,B14200,103.503
9533,2014-12,B14200,105.183
9534,2015-01,B14200,101.853
9535,2015-02,B14200,108.705
9536,2015-03,B14200,106.201
9537,2015-04,B14200,105.739
9538,2015-05,B14200,107.311
9539,2015-06,B14200,104.037
9540,2015-07,B14200,104.952
9541,2015-08,B14200,96.9394
9542,2015-09,B14200,94.83
9543,2015-10,B14200,102.65
9544,2015-11,B14200,103.322
9545,2015-12,B14200,97.9111
9546,2016-01,B14200,90.0616
9547,2016-02,B14200,88.5548
9548,2016-03,B14200,94.3101
9549,2016-04,B14200,96.1049
9550,2016-05,B14200,98.5227
9551,2016-06,B14200,95.3897
9552,2016-07,B14200,99.2862
9553,2016-08,B14200,99.4158
9554,2016-09,B14200,98.6302
9555,2016-10,B14200,96.6196
9556,2016-11,B14200,100.319
9557,2016-12,B14200,99.9668
9558,2017-01,B14200,101.705
9559,2017-02,B14200,105.217
9560,2017-03,B14200,104.514
9561,2017-04,B14200,105.111
9562,2017-05,B14200,104.265
9563,2017-06,B14200,104.046
9564,2017-07,B14200,105.634
9565,2017-08,B14200,104.899
9566,2017-09,B14200,106.667
9567,2017-10,B14200,108.102
9568,2017-11,B14200,110.211
9569,2017-12,B14200,111.603
9570,2018-01,B14200,119.213
9571,2018-02,B14200,112.812
9572,2018-03,B14200,108.457
9573,2018-04,B14200,108.074
9574,2018-05,B14200,111.078
9575,2018-06,B14200,110.389
9576,2018-07,B14200,115.225
9577,2018-08,B14200,116.917
9578,2018-09,B14200,116.516
9579,2018-10,B14200,105.973
9580,2018-11,B14200,107.973
9581,2018-12,B14200,97.8845
9582,2019-01,B14200,105.93
