,as_of,ask_id,fund_size
6602,2014-04,B16243,1039.69
6603,2014-05,B16243,926.611
6604,2014-06,B16243,918.16
6605,2014-07,B16243,926.949
6606,2014-08,B16243,957.621
6607,2014-09,B16243,962.421
6608,2014-10,B16243,952.741
6609,2014-11,B16243,957.126
6610,2014-12,B16243,859.169
6611,2015-01,B16243,827.398
6612,2015-02,B16243,878.439
6613,2015-03,B16243,892.618
6614,2015-04,B16243,890.565
6615,2015-05,B16243,892.288
6616,2015-06,B16243,859.371
6617,2015-07,B16243,841.841
6618,2015-08,B16243,815.293
6619,2015-09,B16243,882.57
6620,2015-10,B16243,900.055
6621,2015-11,B16243,880.783
6622,2015-12,B16243,805.761
6623,2016-01,B16243,803.991
6624,2016-02,B16243,767.136
6625,2016-03,B16243,783.869
6626,2016-04,B16243,755.927
6627,2016-05,B16243,755.147
6628,2016-06,B16243,829.494
6629,2016-07,B16243,853.649
6630,2016-08,B16243,906.474
6631,2016-09,B16243,907.137
6632,2016-10,B16243,900.55
6633,2016-11,B16243,877.508
6634,2016-12,B16243,879.366
6635,2017-01,B16243,748.449
6636,2017-02,B16243,753.058
6637,2017-03,B16243,765.602
6638,2017-04,B16243,801.818
6639,2017-05,B16243,812.42
6640,2017-06,B16243,809.858
6641,2017-07,B16243,810.628
6642,2017-08,B16243,822.24
6643,2017-09,B16243,818.242
6644,2017-10,B16243,819.172
6645,2017-11,B16243,858.468
6646,2017-12,B16243,836.288
6647,2018-01,B16243,845.593
6648,2018-02,B16243,837.549
6649,2018-03,B16243,858.242
6650,2018-04,B16243,792.584
6651,2018-05,B16243,794.164
6652,2018-06,B16243,767.257
6653,2018-07,B16243,756.656
6654,2018-08,B16243,765.664
6655,2018-09,B16243,772.277
6656,2018-10,B16243,759.927
6657,2018-11,B16243,766.596
6658,2018-12,B16243,778.868
6659,2019-01,B16243,662.124
6660,2019-02,B16243,656.747
6661,2019-03,B16243,548.603
6662,2019-04,B16243,622.027
6663,2019-05,B16243,758.689
6664,2019-06,B16243,798.615
6665,2019-07,B16243,801.008
6666,2019-08,B16243,818.247
6667,2019-09,B16243,723.542
6668,2019-10,B16243,730.143
6669,2019-11,B16243,762.623
6670,2019-12,B16243,751.871
